strain	date	S1_mutations	clade_membership	country	current_frequency	division	emerging_lineage	epiweek	genbank_accession	host	mutational_fitness	pango_lineage	recency	region	url	author	accession	originating_lab	submitting_lab	logistic_growth
USA/ND-CDC-MMB09375450/2021	2021-07-14	8.00	21J (Delta)	USA		North Dakota	21J (Delta)	202128	MZ809424	Homo sapiens	1.19	AY.118	Older	North America		Howard et al EN		Mako Medical	CDC-OAMD	
USA/NJ-CDC-LC0276895/2021	2021-09-13	9.00	21J (Delta)	USA		New Jersey	21J (Delta)	202137	OK368858	Homo sapiens	1.27	AY.118	Older	North America		Howard et al EO				
USA/PR-CDC-2-4884919/2021	2021-08-30	9.00	21J (Delta)	USA		Puerto Rico	21J (Delta)	202135	OK257389	Homo sapiens	1.27	AY.118	Older	North America		Howard et al EP				
USA/NC-CDC-LC0438138/2021	2021-12-21	9.00	21J (Delta)	USA	0.00	North Carolina	21J (Delta)	202151	OM122054	Homo sapiens	1.23	AY.118	3-7 days ago	North America		Howard et al EQ		Laboratory Corporation of America	CDC-OAMD	-7.70
USA/OR-CDC-LC0186246/2021	2021-08-07	9.00	21J (Delta)	USA		Oregon	21J (Delta)	202131	MZ993761	Homo sapiens	1.22	AY.118	Older	North America		Howard et al ER				
USA/MS-CDC-ASC210318269/2021	2021-09-27	6.00	21J (Delta)	USA		Mississippi	21J (Delta)	202139	OK629687	Homo sapiens	1.12	AY.118	Older	North America		Howard et al ES				
USA/AZ-CDC-LC0435465/2021	2021-12-06	9.00	21J (Delta)	USA	0.00	Arizona	21J (Delta)	202149	OM041071	Homo sapiens	1.21	AY.118	One week ago	North America		Howard et al ET				-7.70
USA/AR-UMGC-19930/2021	2021-10-12	9.00	21J (Delta)	USA		Arkansas	21J (Delta)	202141	OL515314	Homo sapiens	1.23	AY.118	Older	North America		Gohl et al G				
USA/AR-UMGC-16980/2021	2021-09-13	9.00	21J (Delta)	USA		Arkansas	21J (Delta)	202137	OL514448	Homo sapiens	1.23	AY.118	Older	North America		Gohl et al H				
USA/IA-CDC-ASC210328178/2021	2021-09-20	9.00	21J (Delta)	USA		Iowa	21J (Delta)	202138	OK567731	Homo sapiens	1.24	AY.113	Older	North America		Howard et al EU				
USA/NE-CDC-ASC210363468/2021	2021-10-14	5.00	21J (Delta)	USA		Nebraska	21J (Delta)	202141	OL428877	Homo sapiens	0.96		Older	North America		Howard et al EV				
USA/ME-CDC-2-4972155/2021	2021-09-02	9.00	21J (Delta)	USA		Maine	21J (Delta)	202135	OK487206	Homo sapiens	1.25	AY.113	Older	North America		Sheth et al W				
DOM/1329314/2021	2021-10-18	10.00	21J (Delta)	Dominican Republic		Dominican Republic	21J (Delta)	202142	OM180380	Homo sapiens	1.23		1-2 days ago	North America		Sanchez et al				
USA/DE-CDC-LC0404487/2021	2021-11-26	9.00	21J (Delta)	USA	0.00	Delaware	21J (Delta)	202147	OL837681	Homo sapiens	1.24	AY.113	One month ago	North America		Howard et al EW				-7.65
BHR/21921889821/2021	2021-11-10	9.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202145	OL477565	Homo sapiens	1.20	AY.102	Older	Asia		Alwasti et al HN				-7.65
BHR/921451346/2021	2021-09-06	8.00	21J (Delta)	Bahrain		Bahrain	21J (Delta)	202136	OK148243	Homo sapiens	1.22	B.1.617.2	Older	Asia		Alwasti et al HO				
IND/barcode_19_MN908947.3/2021	2021-09-10	6.00	21J (Delta)	India		India	21J (Delta)	202136	OK189628	Homo sapiens	1.04	B.1.617.2	Older	Asia		Nair et al AN				
KEN/SS3728/2021	2021-10-15	12.00	21J (Delta)	Kenya		Kenya	21J (Delta)	202141	OL352736	Homo sapiens	1.36	B.1.617.2	Older	Africa		Githinji et al DW				
IND/542MN908947.3/2021	2021-09-25	7.00	21J (Delta)	India		India	21J (Delta)	202138	OK356441	Homo sapiens	1.13	B.1.617.2	Older	Asia		Nair et al AO				
IND/547MN908947.3/2021	2021-09-25	7.00	21J (Delta)	India		India	21J (Delta)	202138	OK356446	Homo sapiens	1.11	B.1.617.2	Older	Asia		Nair et al AP				
IND/563MN908947.3/2021	2021-09-25	7.00	21J (Delta)	India		India	21J (Delta)	202138	OK356462	Homo sapiens	1.15	B.1.617.2	Older	Asia		Nair et al AQ				
BHR/21921884220/2021	2021-11-09	8.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202145	OL454180	Homo sapiens	1.28	B.1.617.2	Older	Asia		Alwasti et al HP				-7.65
BHR/21921894065/2021	2021-11-10	9.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202145	OL477577	Homo sapiens	1.30	B.1.617.2	Older	Asia		Alwasti et al HQ				-7.65
BHR/21921824683_S27_L001/2021	2021-11-01	8.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202144	OL374097	Homo sapiens	1.27	B.1.617.2	Older	Asia		Alwasti et al HR				-7.65
BHR/21342740041/2021	2021-11-11	9.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202145	OL477542	Homo sapiens	1.31	B.1.617.2	Older	Asia		Alwasti et al HS				-7.65
IND/399MN908947.3/2021	2021-09-10	7.00	21J (Delta)	India		India	21J (Delta)	202136	OK190643	Homo sapiens	1.12	B.1.617.2	Older	Asia		Nair et al AR				
IND/510MN908947.3/2021	2021-09-25	7.00	21J (Delta)	India		India	21J (Delta)	202138	OK356411	Homo sapiens	1.22	AY.126	Older	Asia		Nair et al AS				
IND/573MN908947.3/2021	2021-09-25	7.00	21J (Delta)	India		India	21J (Delta)	202138	OK356471	Homo sapiens	1.12	B.1.617.2	Older	Asia		Nair et al AT				
IND/534MN908947.3/2021	2021-09-25	7.00	21J (Delta)	India		India	21J (Delta)	202138	OK356434	Homo sapiens	1.12	B.1.617.2	Older	Asia		Nair et al AU				
BHR/21921714700/2021	2021-10-15	8.00	21J (Delta)	Bahrain		Bahrain	21J (Delta)	202141	OK556862	Homo sapiens	1.18	B.1.617.2	Older	Asia		Alwasti et al HT				
SYC/SS3551/2021	2021-09-15	7.00	21J (Delta)	Seychelles		Seychelles	21J (Delta)	202137	OL351969	Homo sapiens	1.16	B.1.617.2	Older	Africa		Githinji et al DX				
IND/396MN908947.3/2021	2021-09-10	7.00	21J (Delta)	India		India	21J (Delta)	202136	OK190640	Homo sapiens	1.12	B.1.617.2	Older	Asia		Nair et al AV				
USA/TX-CDC-FG-152021/2021	2021-10-20	10.00	21J (Delta)	USA		Texas	21J (Delta)	202142	OK628346	Homo sapiens	1.24	B.1.617.2	Older	North America		Howard et al EX				
USA/DC-CDC-LC0363901/2021	2021-11-02	9.00	21J (Delta)	USA	0.00	Washington DC	21J (Delta)	202144	OL558739	Homo sapiens	1.26	B.1.617.2	Older	North America		Howard et al EY		Laboratory Corporation of America	CDC-OAMD	-7.65
USA/NJ-CDC-LC0404087/2021	2021-11-26	10.00	21J (Delta)	USA	0.00	New Jersey	21J (Delta)	202147	OL837975	Homo sapiens	1.21	B.1.617.2	One month ago	North America		Howard et al EZ		Laboratory Corporation of America	CDC-OAMD	-7.65
USA/TN-CDC-ASC210311249/2021	2021-10-05	8.00	21J (Delta)	USA		Tennessee	21J (Delta)	202140	OL612424	Homo sapiens	1.23	AY.100	Older	North America		Howard et al FA		Aegis Sciences Corporation	CDC-OAMD	
USA/CO-CDC-ASC210519189/2021	2021-11-01	9.00	21J (Delta)	USA	0.00	Colorado	21J (Delta)	202144	OL577940	Homo sapiens	1.26	AY.100	Older	North America		Howard et al FB		Aegis Sciences Corporation	CDC-OAMD	-7.65
USA/ME-CDCBI-CRSP_R3JXBYIKAFTZP6AV/2021	2021-12-02	9.00	21J (Delta)	USA	0.00	Maine	21J (Delta)	202148	OL847236	Homo sapiens	1.26	B.1.617.2	One month ago	North America		Lemieux et al V		Broad Institute Clinical Research Sequencing Platform	Broad Institute Genomic Center for Infectious Diseases	-7.65
USA/PR-CDC-ASC210317089/2021	2021-09-23	8.00	21J (Delta)	USA		Puerto Rico	21J (Delta)	202138	OL315522	Homo sapiens	1.23	AY.100	Older	North America		Howard et al FC				
USA/VI-CDC-ASC210335581/2021	2021-09-23	8.00	21J (Delta)	USA		Virgin Islands	21J (Delta)	202138	OK617934	Homo sapiens	1.22	AY.100	Older	North America		Howard et al FD				
USA/VI-CDC-ASC210318919/2021	2021-09-27	8.00	21J (Delta)	USA		Virgin Islands	21J (Delta)	202139	OL238373	Homo sapiens	1.24	AY.100	Older	North America		Howard et al FE				
USA/TX-CDC-ASC210141067/2021	2021-09-09	8.00	21J (Delta)	USA		Texas	21J (Delta)	202136	OK437182	Homo sapiens	1.20	AY.117	Older	North America		Howard et al FF				
USA/CO-CDC-ASC210519561/2021	2021-11-02	9.00	21J (Delta)	USA	0.00	Colorado	21J (Delta)	202144	OL593818	Homo sapiens	1.19	AY.100	Older	North America		Howard et al FG		Aegis Sciences Corporation	CDC-OAMD	-7.65
USA/MD-CDC-MMB10661775/2021	2021-09-23	8.00	21J (Delta)	USA		Maryland	21J (Delta)	202138	OK619071	Homo sapiens	1.24	AY.19	Older	North America		Howard et al FH				
USA/AK-PHL15136/2021	2021-11-09	8.00	21J (Delta)	USA	0.00	Alaska	21J (Delta)	202145	OL658849	Homo sapiens	1.14	AY.100	Older	North America		House et al B				-7.65
USA/WV-CDC-ASC210494190/2021	2021-10-24	11.00	21J (Delta)	USA	0.00	West Virginia	21J (Delta)	202143	OL483820	Homo sapiens	1.27	B.1.617.2	Older	North America		Howard et al FI		Aegis Sciences Corporation	CDC-OAMD	
USA/MT-CDC-ASC210630852/2021	2021-12-20	11.00	21J (Delta)	USA	0.00	Montana	21J (Delta)	202151	OM099642	Homo sapiens	1.23	B.1.617.2	3-7 days ago	North America		Howard et al FJ		Aegis Sciences Corporation	CDC-OAMD	-7.65
USA/IA-CDC-ASC210342087/2021	2021-10-08	8.00	21J (Delta)	USA		Iowa	21J (Delta)	202140	OL399758	Homo sapiens	1.21	AY.100	Older	North America		Howard et al FK				
USA/IL-CDC-STM-C75KX2UN7/2021	2021-12-19	10.00	21J (Delta)	USA	0.00	Illinois	21J (Delta)	202151	OM159724	Homo sapiens	1.23		3-7 days ago	North America		Howard et al FL				-7.65
USA/MT-CDC-ASC210535481/2021	2021-12-14	9.00	21J (Delta)	USA	0.00	Montana	21J (Delta)	202150	OM036464	Homo sapiens	1.21	AY.79	One week ago	North America		Howard et al FM		Aegis Sciences Corporation	CDC-OAMD	-7.65
USA/CO-CDC-ASC210613973/2021	2021-12-16	9.00	21J (Delta)	USA	0.00	Colorado	21J (Delta)	202150	OM126305	Homo sapiens	1.23	B.1.617.2	3-7 days ago	North America		Howard et al FN		Aegis Sciences Corporation	CDC-OAMD	-7.65
USA/NH-CDCBI-CRSP_Q2R2G6XIK4VRM23K/2021	2021-11-10	9.00	21J (Delta)	USA	0.00	New Hampshire	21J (Delta)	202145	OL599311	Homo sapiens	1.23	B.1.617.2	Older	North America		Lemieux et al W		Broad Institute Clinical Research Sequencing Platform	Broad Institute Genomic Center for Infectious Diseases	-7.65
USA/AL-CDC-ASC210430395/2021	2021-11-22	9.00	21J (Delta)	USA	0.00	Alabama	21J (Delta)	202147	OL927115	Homo sapiens	1.25	AY.100	One month ago	North America		Howard et al FO		Aegis Sciences Corporation	CDC-OAMD	-7.65
USA/ND-CDC-2-5165888/2021	2021-11-03	10.00	21J (Delta)	USA	0.00	North Dakota	21J (Delta)	202144	OL655661	Homo sapiens	1.24	B.1.617.2	Older	North America		Sheth et al X		ND Dept. of Health Laboratory Services-Microbiology	CDC DVD Genomics and DIscovery Team	-7.65
USA/SC-CDC-ASC210374831/2021	2021-09-24	8.00	21J (Delta)	USA		South Carolina	21J (Delta)	202138	OK615497	Homo sapiens	1.20	AY.100	Older	North America		Howard et al FP				
USA/CT-CDC-LC0370120/2021	2021-11-05	9.00	21J (Delta)	USA	0.00	Connecticut	21J (Delta)	202144	OL560716	Homo sapiens	1.24	B.1.617.2	Older	North America		Howard et al FQ		Laboratory Corporation of America	CDC-OAMD	-7.65
USA/CO-CDC-MMB12032899/2021	2021-12-07	10.00	21J (Delta)	USA	0.00	Colorado	21J (Delta)	202149	OM150239	Homo sapiens	1.31		3-7 days ago	North America		Howard et al FR		Mako Medical	CDC-OAMD	-7.65
USA/VA-CDC-LC0360544/2021	2021-10-29	9.00	21J (Delta)	USA	0.00	Virginia	21J (Delta)	202143	OL489088	Homo sapiens	1.24	B.1.617.2	Older	North America		Howard et al FS		Laboratory Corporation of America	CDC-OAMD	-7.65
BHR/21342637800/2021	2021-09-30	10.00	21J (Delta)	Bahrain		Bahrain	21J (Delta)	202139	OK376311	Homo sapiens	1.19	AY.44	Older	Asia		Alwasti et al HU				
BHR/21342685363/2021	2021-10-16	12.00	21J (Delta)	Bahrain		Bahrain	21J (Delta)	202141	OK556832	Homo sapiens	1.22	AY.44	Older	Asia		Alwasti et al HV				
BHR/21342702899/2021	2021-10-21	11.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202142	OK635316	Homo sapiens	1.19	AY.44	Older	Asia		Alwasti et al HW				
BHR/21342716710/2021	2021-10-28	11.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202143	OL336623	Homo sapiens	1.18	AY.44	Older	Asia		Alwasti et al HX				-6.07
USA/AR-CDC-LC0209339/2021	2021-08-10	8.00	21J (Delta)	USA		Arkansas	21J (Delta)	202132	OK113209	Homo sapiens	1.18	AY.44	Older	North America		Howard et al FT				
DJI/NAMRU3_C675/2021	2021-06-30	8.00	21J (Delta)	Djibouti		Djibouti	21J (Delta)	202126	OL640778	Homo sapiens	1.20	AY.44	Older	Africa		Arnold et al BI				
USA/AK-CDC-2-4912375/2021	2021-09-03	9.00	21J (Delta)	USA		Alaska	21J (Delta)	202135	OK300609	Homo sapiens	1.19	AY.44	Older	North America		Sheth et al Y				
USA/CA-CDC-FG-140916/2021	2021-09-30	9.00	21J (Delta)	USA		California	21J (Delta)	202139	OK446376	Homo sapiens	1.21	AY.44	Older	North America		Howard et al FU				
USA/AR-UMGC-22530/2021	2021-10-05	8.00	21J (Delta)	USA		Arkansas	21J (Delta)	202140	OL515579	Homo sapiens	1.21	AY.44	Older	North America		Gohl et al I				
USA/HI-CDC-2-5313812/2021	2021-11-26	9.00	21J (Delta)	USA	0.00	Hawaii	21J (Delta)	202147	OM158995	Homo sapiens	1.22		3-7 days ago	North America		Sheth et al Z		"HI Dept. of Health, State Laboratories Division"	CDC DVD Genomics and DIscovery Team	-5.96
USA/NJ-CDC-FG-188171/2021	2021-12-01	8.00	21J (Delta)	USA	0.00	New Jersey	21J (Delta)	202148	OL856656	Homo sapiens	1.46	AY.44	One month ago	North America		Howard et al FV		Fulgent Genetics	CDC-OAMD	-5.96
DJI/NAMRU3_E43/2021	2021-09-22	8.00	21J (Delta)	Djibouti		Djibouti	21J (Delta)	202138	OL640815	Homo sapiens	1.20	AY.44	Older	Africa		Arnold et al BJ				
USA/MI-CDC-ATM-T4Y3HY3NZ/2021	2021-10-26	8.00	21J (Delta)	USA	0.00	Michigan	21J (Delta)	202143	OL501671	Homo sapiens	1.21	AY.44	Older	North America		Howard et al FW		'Helix'	CDC-OAMD	-5.96
USA/OKPHLCOV0004515/2021	2021-09-27	9.00	21J (Delta)	USA		Oklahoma	21J (Delta)	202139	OL941297	Homo sapiens	1.20	AY.44	One month ago	North America		Grimaldo et al C				
USA/TN-CDC-ASC210323551/2021	2021-10-01	8.00	21J (Delta)	USA		Tennessee	21J (Delta)	202139	OL384015	Homo sapiens	1.19	AY.44	Older	North America		Howard et al FX				
USA/AS-CDC-FG-188657/2021	2021-12-03	8.00	21J (Delta)	USA	0.00	American Samoa	21J (Delta)	202148	OL856948	Homo sapiens	1.20	AY.44	One month ago	North America		Howard et al FY		Fulgent Genetics	CDC-OAMD	-5.96
USA/ND-CDC-2-5173545/2021	2021-10-22	8.00	21J (Delta)	USA	0.00	North Dakota	21J (Delta)	202142	OL743773	Homo sapiens	1.20	AY.44	Older	North America		Sheth et al AA		ND Dept. of Health Laboratory Services-Microbiology	CDC DVD Genomics and DIscovery Team	
USA/OR-CDC-LC0313054/2021	2021-09-24	8.00	21J (Delta)	USA		Oregon	21J (Delta)	202138	OK519147	Homo sapiens	1.20	AY.44	Older	North America		Howard et al FZ				
USA/AZ-CDC-ASC210080626/2021	2021-09-09	7.00	21J (Delta)	USA		Arizona	21J (Delta)	202136	OK390896	Homo sapiens	1.17	AY.44	Older	North America		Howard et al GA				
PLW/PW-CDC-2-5064370/2021	2021-08-20	9.00	21J (Delta)	Palau		Palau	21J (Delta)	202133	OL607061	Homo sapiens	1.20	AY.44	Older	Oceania		Sheth et al AB		Belau National Hospital	CDC DVD Genomics and DIscovery Team	
USA/CA-CDC-ASC210334044/2021	2021-09-22	8.00	21J (Delta)	USA		California	21J (Delta)	202138	OK602517	Homo sapiens	1.56	AY.44	Older	North America		Howard et al GB				
USA/WY-CDC-ASC210318452/2021	2021-09-27	7.00	21J (Delta)	USA		Wyoming	21J (Delta)	202139	OK629954	Homo sapiens	1.17	AY.44	Older	North America		Howard et al GC				
USA/MT-CDC-ASC210313420/2021	2021-10-02	9.00	21J (Delta)	USA		Montana	21J (Delta)	202139	OL367550	Homo sapiens	1.20	AY.44	Older	North America		Howard et al GD				
USA/IL-CDC-ASC210525254/2021	2021-11-06	8.00	21J (Delta)	USA	0.00	Illinois	21J (Delta)	202144	OL651350	Homo sapiens	1.19	AY.44	Older	North America		Howard et al GE		Aegis Sciences Corporation	CDC-OAMD	-5.79
USA/WA-CDC-QDX31492655/2021	2021-11-23	8.00	21J (Delta)	USA	0.00	Washington	21J (Delta)	202147	OL865614	Homo sapiens	1.28	AY.44	One month ago	North America		Howard et al GF		Quest Diagnostics Incorporated	CDC-OAMD	-5.79
USA/ID-CDC-LC0323355/2021	2021-09-28	8.00	21J (Delta)	USA		Idaho	21J (Delta)	202139	OK607084	Homo sapiens	1.20	AY.44	Older	North America		Howard et al GG				
USA/AK-PHL16036/2021	2021-12-01	7.00	21J (Delta)	USA	0.00	Alaska	21J (Delta)	202148	OL879091	Homo sapiens	1.17	AY.44	One month ago	North America		Zidek et al A				-5.79
USA/WA-CDC-LC0394956/2021	2021-11-17	9.00	21J (Delta)	USA	0.00	Washington	21J (Delta)	202146	OL833097	Homo sapiens	1.19	AY.44	One month ago	North America		Howard et al GH		Laboratory Corporation of America	CDC-OAMD	-5.79
USA/ID-CDC-LC0376365/2021	2021-11-11	8.00	21J (Delta)	USA	0.00	Idaho	21J (Delta)	202145	OL646167	Homo sapiens	1.23	AY.44	Older	North America		Howard et al GI		Laboratory Corporation of America	CDC-OAMD	-5.79
USA/OK-CDC-ASC210717590/2021	2021-11-24	8.00	21J (Delta)	USA	0.00	Oklahoma	21J (Delta)	202147	OL920848	Homo sapiens	1.23	AY.44	One month ago	North America		Howard et al GJ		Aegis Sciences Corporation	CDC-OAMD	-5.79
USA/WY-CDC-IBX079051296977/2021	2021-12-11	8.00	21J (Delta)	USA	0.00	Wyoming	21J (Delta)	202149	OM061682	Homo sapiens	1.17	AY.44	One week ago	North America		Howard et al GK		Infinity Biologix	CDC-OAMD	-5.79
USA/NJ-CDC-LC0257059/2021	2021-09-08	8.00	21J (Delta)	USA		New Jersey	21J (Delta)	202136	OK281591	Homo sapiens	1.19	AY.44	Older	North America		Howard et al GL				
USA/NE-CDC-ASC210423417/2021	2021-11-16	9.00	21J (Delta)	USA	0.00	Nebraska	21J (Delta)	202146	OL734329	Homo sapiens	1.21	AY.44	Older	North America		Howard et al GM				-5.79
USA/UT-CDC-LC0312379/2021	2021-09-28	8.00	21J (Delta)	USA		Utah	21J (Delta)	202139	OK521568	Homo sapiens	1.21	AY.44	Older	North America		Howard et al GN				
USA/LA-CDC-QDX29409711/2021	2021-09-29	8.00	21J (Delta)	USA		Louisiana	21J (Delta)	202139	OK573878	Homo sapiens	1.20	AY.44	Older	North America		Howard et al GO				
USA/NE-CDC-ASC210321961/2021	2021-09-30	7.00	21J (Delta)	USA		Nebraska	21J (Delta)	202139	OL609004	Homo sapiens	1.17	AY.44	Older	North America		Howard et al GP		Aegis Sciences Corporation	CDC-OAMD	
USA/NH-CDC-QDX29601027/2021	2021-10-07	8.00	21J (Delta)	USA		New Hampshire	21J (Delta)	202140	OK627365	Homo sapiens	1.20	AY.44	Older	North America		Howard et al GQ				
USA/NM-CDC-LC0365310/2021	2021-10-27	8.00	21J (Delta)	USA	0.00	New Mexico	21J (Delta)	202143	OL556434	Homo sapiens	1.20	AY.44	Older	North America		Howard et al GR		Laboratory Corporation of America	CDC-OAMD	-5.79
USA/NV-CDC-LC0434635/2021	2021-12-10	8.00	21J (Delta)	USA	0.00	Nevada	21J (Delta)	202149	OM041638	Homo sapiens	1.20	AY.44	One week ago	North America		Howard et al GS		Laboratory Corporation of America	CDC-OAMD	-5.79
USA/VA-DCLS-11079/2021	2021-11-25	8.00	21J (Delta)	USA	0.00	Virginia	21J (Delta)	202147	OM037214	Homo sapiens	1.19	AY.44	One week ago	North America		Fink et al B				-5.79
USA/MA-CDCBI-CRSP_CPTFICZID4MT4Q3M/2021	2021-10-22	8.00	21J (Delta)	USA	0.00	Massachusetts	21J (Delta)	202142	OL306493	Homo sapiens	1.19	AY.44	Older	North America		Lemieux et al X		Broad Institute Clinical Research Sequencing Platform	Broad Institute Genomic Center for Infectious Diseases	
USA/NC-CORVASEQ-DH-265M791000004193/2021	2021-09-25	8.00	21J (Delta)	USA		North Carolina	21J (Delta)	202138	OL868054	Homo sapiens	1.19	AY.44	One month ago	North America		Berrio et al				
USA/OH-CDC-ASC210429183/2021	2021-11-19	8.00	21J (Delta)	USA	0.00	Ohio	21J (Delta)	202146	OL887859	Homo sapiens	1.19	AY.44	One month ago	North America		Howard et al GT		Aegis Sciences Corporation	CDC-OAMD	-5.79
USA/DC-CDC-LC0321222/2021	2021-10-07	9.00	21J (Delta)	USA		Washington DC	21J (Delta)	202140	OK611992	Homo sapiens	1.19	AY.44	Older	North America		Howard et al GU				
USA/WV-CDC-ASC210389670/2021	2021-11-04	7.00	21J (Delta)	USA	0.00	West Virginia	21J (Delta)	202144	OL650332	Homo sapiens	1.04		Older	North America		Howard et al GV		Aegis Sciences Corporation	CDC-OAMD	-5.79
USA/ID-CDC-ASC210386426/2021	2021-11-01	7.00	21J (Delta)	USA	0.00	Idaho	21J (Delta)	202144	OL577388	Homo sapiens	1.12	AY.44	Older	North America		Howard et al GW		Aegis Sciences Corporation	CDC-OAMD	-5.79
USA/VT-CDCBI-CRSP_XXN5IG2LBD4OPN42/2021	2021-09-07	8.00	21J (Delta)	USA		Vermont	21J (Delta)	202136	OK177817	Homo sapiens	1.22	AY.44	Older	North America		Lemieux et al Y		Broad Institute Clinical Research Sequencing Platform	Broad Institute Genomic Center for Infectious Diseases	
USA/MT-CDC-ASC210482040/2021	2021-11-17	9.00	21J (Delta)	USA	0.00	Montana	21J (Delta)	202146	OL750466	Homo sapiens	1.24	AY.44	Older	North America		Howard et al GX				-5.79
USA/CO-CDC-MMB10239479/2021	2021-09-05	10.00	21J (Delta)	USA		Colorado	21J (Delta)	202136	OK399959	Homo sapiens	1.03	AY.44	Older	North America		Howard et al GY				
USA/NV-CDC-QDX29079971/2021	2021-09-25	9.00	21J (Delta)	USA		Nevada	21J (Delta)	202138	OK447570	Homo sapiens	1.18	AY.44	Older	North America		Howard et al GZ				
USA/LA-CDC-QDX31445911/2021	2021-11-26	8.00	21J (Delta)	USA	0.00	Louisiana	21J (Delta)	202147	OL788888	Homo sapiens	1.24	AY.44	Older	North America		Howard et al HA		Quest Diagnostics Incorporated	CDC-OAMD	-5.79
USA/NH-CDC-ASC210345133/2021	2021-10-11	7.00	21J (Delta)	USA		New Hampshire	21J (Delta)	202141	OL426302	Homo sapiens	1.12	AY.44	Older	North America		Howard et al HB				
USA/WA-CDC-UW21121021078/2021	2021-12-10	7.00	21J (Delta)	USA	0.00	Washington	21J (Delta)	202149	OL914309	Homo sapiens	1.18	AY.44	One month ago	North America		Howard et al HC		UW Virology Lab	CDC-OAMD	-5.79
USA/GA-CDC-STM-XWRYSTQPT/2021	2021-11-24	9.00	21J (Delta)	USA	0.00	Georgia	21J (Delta)	202147	OL804692	Homo sapiens	1.25	AY.44	One month ago	North America		Howard et al HD		'Helix'	CDC-OAMD	-5.79
USA/ID-CDC-IBX243114933223/2021	2021-09-02	7.00	21J (Delta)	USA		Idaho	21J (Delta)	202135	OK398881	Homo sapiens	1.16	AY.44	Older	North America		Howard et al HE				
USA/KS-CDC-ASC210089573/2021	2021-09-20	7.00	21J (Delta)	USA		Kansas	21J (Delta)	202138	OK603030	Homo sapiens	1.16	AY.44	Older	North America		Howard et al HF				
USA/WY-CDC-IBX125422504100/2021	2021-11-13	7.00	21J (Delta)	USA	0.00	Wyoming	21J (Delta)	202145	OL605998	Homo sapiens	1.16	AY.44	Older	North America		Howard et al HG		Infinity Biologix	CDC-OAMD	-5.79
USA/WV-CDC-LC0304861/2021	2021-09-17	8.00	21J (Delta)	USA		West Virginia	21J (Delta)	202137	OK516240	Homo sapiens	1.20	AY.44	Older	North America		Howard et al HH				
USA/PA-CDC-LC0267322/2021	2021-09-08	8.00	21J (Delta)	USA		Pennsylvania	21J (Delta)	202136	OK307176	Homo sapiens	1.19	AY.44	Older	North America		Howard et al HI				
USA/FL-BPHL-11051/2021	2021-10-04	8.00	21J (Delta)	USA		Florida	21J (Delta)	202140	OL345361	Homo sapiens	1.16	AY.44	Older	North America		Schmedes et al B		Florida Bureau of Public Health Laboratories	FLDOH	
USA/UT-CDC-LC0353417/2021	2021-10-17	8.00	21J (Delta)	USA		Utah	21J (Delta)	202142	OL391991	Homo sapiens	1.18	AY.44	Older	North America		Howard et al HJ				
USA/DC-CDC-LC0245235/2021	2021-09-03	8.00	21J (Delta)	USA		Washington DC	21J (Delta)	202135	OK199870	Homo sapiens	1.16	AY.44	Older	North America		Howard et al HK				
USA/MI-CDC-ASC210454815/2021	2021-11-09	8.00	21J (Delta)	USA	0.00	Michigan	21J (Delta)	202145	OL921327	Homo sapiens	1.23	AY.44	One month ago	North America		Howard et al HL		Aegis Sciences Corporation	CDC-OAMD	-5.79
USA/WI-CDC-ASC210488258/2021	2021-11-19	8.00	21J (Delta)	USA	0.00	Wisconsin	21J (Delta)	202146	OL860014	Homo sapiens	1.19	AY.44	One month ago	North America		Howard et al HM		Aegis Sciences Corporation	CDC-OAMD	-5.79
